Sale ID,Date,Shop,Product,Quantity,Unit price,Amount
S000000049,2020-05-24,shop_9,TSH_49,1.0,20.0,20.0
S000000050,2020-05-23,shop_10,TSH_50,4.0,20.0,80.0
S000000051,2020-05-22,shop_11,TSH_51,1.0,22.0,22.0
S000000052,2020-05-21,shop_12,TSH_52,1.0,24.0,24.0
S000000053,2020-05-20,shop_13,TSH_53,1.0,24.0,24.0
S000000054,2020-05-19,shop_14,HOO_54,2.0,45.0,90.0
S000000055,2020-05-18,shop_15,HOO_55,1.0,48.0,48.0
S000000056,2020-05-17,shop_16,HOO_56,3.0,49.0,147.0
S000000057,2020-05-16,shop_17,SHO_57,1.0,60.0,60.0
S000000058,2020-05-15,shop_18,SHO_58,2.0,60.0,120.0
S000000059,2020-05-14,shop_19,SHO_59,2.0,60.0,120.0
S000000060,2020-06-12,shop_20,SHO_60,1.0,60.0,60.0
S000000061,2020-06-11,shop_21,TAB_0,1.0,210.0,210.0
S000000062,2020-06-10,shop_22,TAB_1,1.0,300.0,300.0
S000000063,2020-06-09,shop_23,CHA_2,4.0,60.0,240.0
S000000064,2020-06-08,shop_24,BED_3,1.0,150.0,150.0
S000000065,2020-06-07,shop_25,BED_4,1.0,300.0,300.0
S000000066,2020-06-06,shop_26,BED_5,1.0,395.0,395.0
S000000067,2020-06-05,shop_27,BED_6,2.0,440.0,880.0
S000000068,2020-06-04,shop_28,TSH_7,1.0,20.0,20.0
S000000069,2020-06-03,shop_29,TSH_8,3.0,20.0,60.0
S000000070,2020-06-02,shop_30,TSH_9,1.0,22.0,22.0
S000000071,2020-06-01,shop_31,TSH_10,2.0,24.0,48.0
S000000072,2020-05-31,shop_32,TSH_11,2.0,24.0,48.0
S000000073,2020-05-30,shop_33,HOO_12,1.0,45.0,45.0
S000000074,2020-05-29,shop_34,HOO_13,1.0,48.0,48.0
S000000075,2020-05-28,shop_35,HOO_14,1.0,49.0,49.0
S000000076,2020-05-27,shop_36,SHO_15,4.0,60.0,240.0
S000000077,2020-05-26,shop_37,SHO_16,1.0,60.0,60.0
S000000078,2020-05-25,shop_38,SHO_17,1.0,60.0,60.0
S000000079,2020-05-24,shop_39,SHO_18,1.0,60.0,60.0
S000000080,2020-05-23,shop_0,SHO_19,2.0,60.0,120.0
S000000081,2020-05-22,shop_1,SHO_20,1.0,60.0,60.0
S000000082,2020-05-21,shop_2,TAB_21,3.0,210.0,630.0
S000000083,2020-05-20,shop_3,TAB_22,1.0,300.0,300.0
S000000084,2020-05-19,shop_4,CHA_23,2.0,60.0,120.0
S000000085,2020-05-18,shop_5,BED_24,2.0,150.0,300.0
S000000086,2020-05-17,shop_6,BED_25,1.0,300.0,300.0
S000000087,2020-05-16,shop_7,BED_26,1.0,395.0,395.0
S000000088,2020-05-15,shop_8,BED_27,1.0,440.0,440.0
S000000089,2020-05-14,shop_9,TSH_28,4.0,20.0,80.0
S000000090,2020-06-12,shop_10,TSH_29,1.0,20.0,20.0
S000000091,2020-06-11,shop_11,TSH_30,1.0,22.0,22.0
S000000092,2020-06-10,shop_12,TSH_31,1.0,24.0,24.0
S000000093,2020-06-09,shop_13,TSH_32,2.0,24.0,48.0
S000000094,2020-06-08,shop_14,HOO_33,1.0,45.0,45.0
S000000095,2020-06-07,shop_15,HOO_34,3.0,48.0,144.0
S000000096,2020-06-06,shop_16,HOO_35,1.0,49.0,49.0
S000000097,2020-06-05,shop_17,SHO_36,2.0,60.0,120.0
S000000098,2020-06-04,shop_18,SHO_37,2.0,60.0,120.0
S000000099,2020-06-03,shop_19,SHO_38,1.0,60.0,60.0
S000000100,2020-06-02,shop_20,SHO_39,1.0,60.0,60.0
S000000101,2020-06-01,shop_21,SHO_40,1.0,60.0,60.0
S000000102,2020-05-31,shop_22,SHO_41,4.0,60.0,240.0
S000000103,2020-05-30,shop_23,TAB_42,1.0,210.0,210.0
S000000104,2020-05-29,shop_24,TAB_43,1.0,300.0,300.0
S000000105,2020-05-28,shop_25,CHA_44,1.0,60.0,60.0
S000000106,2020-05-27,shop_26,BED_45,2.0,150.0,300.0
S000000107,2020-05-26,shop_27,BED_46,1.0,300.0,300.0
S000000108,2020-05-25,shop_28,BED_47,3.0,395.0,1185.0
S000000109,2020-05-24,shop_29,BED_48,1.0,440.0,440.0
S000000110,2020-05-23,shop_30,TSH_49,2.0,20.0,40.0
S000000111,2020-05-22,shop_31,TSH_50,2.0,20.0,40.0
S000000112,2020-05-21,shop_32,TSH_51,1.0,22.0,22.0
S000000113,2020-05-20,shop_33,TSH_52,1.0,24.0,24.0
S000000114,2020-05-19,shop_34,TSH_53,1.0,24.0,24.0
S000000115,2020-05-18,shop_35,HOO_54,4.0,45.0,180.0
S000000116,2020-05-17,shop_36,HOO_55,1.0,48.0,48.0
S000000117,2020-05-16,shop_37,HOO_56,1.0,49.0,49.0
S000000118,2020-05-15,shop_38,SHO_57,1.0,60.0,60.0
S000000119,2020-05-14,shop_39,SHO_58,2.0,60.0,120.0
S000000120,2020-06-12,shop_0,SHO_59,1.0,60.0,60.0
S000000121,2020-06-11,shop_1,SHO_60,3.0,60.0,180.0
S000000122,2020-06-10,shop_2,TAB_0,1.0,210.0,210.0
S000000123,2020-06-09,shop_3,TAB_1,2.0,300.0,600.0
S000000124,2020-06-08,shop_4,CHA_2,2.0,60.0,120.0
S000000125,2020-06-07,shop_5,BED_3,1.0,150.0,150.0
S000000126,2020-06-06,shop_6,BED_4,1.0,300.0,300.0
S000000127,2020-06-05,shop_7,BED_5,1.0,395.0,395.0
S000000128,2020-06-04,shop_8,BED_6,4.0,440.0,1760.0
S000000129,2020-06-03,shop_9,TSH_7,1.0,20.0,20.0
S000000130,2020-06-02,shop_10,TSH_8,1.0,20.0,20.0
S000000131,2020-06-01,shop_11,TSH_9,1.0,22.0,22.0
S000000132,2020-05-31,shop_12,TSH_10,2.0,24.0,48.0
S000000133,2020-05-30,shop_13,TSH_11,1.0,24.0,24.0
S000000134,2020-05-29,shop_14,HOO_12,3.0,45.0,135.0
S000000135,2020-05-28,shop_15,HOO_13,1.0,48.0,48.0
S000000136,2020-05-27,shop_16,HOO_14,2.0,49.0,98.0
S000000137,2020-05-26,shop_17,SHO_15,2.0,60.0,120.0
S000000138,2020-05-25,shop_18,SHO_16,1.0,60.0,60.0
S000000139,2020-05-24,shop_19,SHO_17,1.0,60.0,60.0
S000000140,2020-05-23,shop_20,SHO_18,1.0,60.0,60.0
S000000141,2020-05-22,shop_21,SHO_19,4.0,60.0,240.0
S000000142,2020-05-21,shop_22,SHO_20,1.0,60.0,60.0
S000000143,2020-05-20,shop_23,TAB_21,1.0,210.0,210.0
S000000144,2020-05-19,shop_24,TAB_22,1.0,300.0,300.0
S000000145,2020-05-18,shop_25,CHA_23,2.0,60.0,120.0
S000000146,2020-05-17,shop_26,BED_24,1.0,150.0,150.0
S000000147,2020-05-16,shop_27,BED_25,3.0,300.0,900.0
S000000148,2020-05-15,shop_28,BED_26,1.0,395.0,395.0
S000000149,2020-05-14,shop_29,BED_27,2.0,440.0,880.0
S000000150,2020-06-12,shop_30,TSH_28,2.0,20.0,40.0
S000000151,2020-06-11,shop_31,TSH_29,1.0,20.0,20.0
S000000152,2020-06-10,shop_32,TSH_30,1.0,22.0,22.0
S000000153,2020-06-09,shop_33,TSH_31,1.0,24.0,24.0
S000000154,2020-06-08,shop_34,TSH_32,4.0,24.0,96.0
S000000155,2020-06-07,shop_35,HOO_33,1.0,45.0,45.0
S000000156,2020-06-06,shop_36,HOO_34,1.0,48.0,48.0
S000000157,2020-06-05,shop_37,HOO_35,1.0,49.0,49.0
S000000158,2020-06-04,shop_38,SHO_36,2.0,60.0,120.0
S000000159,2020-06-03,shop_39,SHO_37,1.0,60.0,60.0
S000000160,2020-06-02,shop_0,SHO_38,3.0,60.0,180.0
S000000161,2020-06-01,shop_1,SHO_39,1.0,60.0,60.0
S000000162,2020-05-31,shop_2,SHO_40,2.0,60.0,120.0
S000000163,2020-05-30,shop_3,SHO_41,2.0,60.0,120.0
S000000164,2020-05-29,shop_4,TAB_42,1.0,210.0,210.0
S000000165,2020-05-28,shop_5,TAB_43,1.0,300.0,300.0
S000000166,2020-05-27,shop_6,CHA_44,1.0,60.0,60.0
S000000167,2020-05-26,shop_7,BED_45,4.0,150.0,600.0
S000000168,2020-05-25,shop_8,BED_46,1.0,300.0,300.0
S000000169,2020-05-24,shop_9,BED_47,1.0,395.0,395.0
S000000170,2020-05-23,shop_10,BED_48,1.0,440.0,440.0
S000000171,2020-05-22,shop_11,TSH_49,2.0,20.0,40.0
S000000172,2020-05-21,shop_12,TSH_50,1.0,20.0,20.0
S000000173,2020-05-20,shop_13,TSH_51,3.0,22.0,66.0
S000000174,2020-05-19,shop_14,TSH_52,1.0,24.0,24.0
S000000175,2020-05-18,shop_15,TSH_53,2.0,24.0,48.0
S000000176,2020-05-17,shop_16,HOO_54,2.0,45.0,90.0
S000000177,2020-05-16,shop_17,HOO_55,1.0,48.0,48.0
S000000178,2020-05-15,shop_18,HOO_56,1.0,49.0,49.0
S000000179,2020-05-14,shop_19,SHO_57,1.0,60.0,60.0
S000000180,2020-06-12,shop_20,SHO_58,4.0,60.0,240.0
S000000181,2020-06-11,shop_21,SHO_59,1.0,60.0,60.0
S000000182,2020-06-10,shop_22,SHO_60,1.0,60.0,60.0
S000000183,2020-06-09,shop_23,TAB_0,1.0,210.0,210.0
S000000184,2020-06-08,shop_24,TAB_1,2.0,300.0,600.0
S000000185,2020-06-07,shop_25,CHA_2,1.0,60.0,60.0
S000000186,2020-06-06,shop_26,BED_3,3.0,150.0,450.0
S000000187,2020-06-05,shop_27,BED_4,1.0,300.0,300.0
S000000188,2020-06-04,shop_28,BED_5,2.0,395.0,790.0
S000000189,2020-06-03,shop_29,BED_6,2.0,440.0,880.0
S000000190,2020-06-02,shop_30,TSH_7,1.0,20.0,20.0
S000000191,2020-06-01,shop_31,TSH_8,1.0,20.0,20.0
S000000192,2020-05-31,shop_32,TSH_9,1.0,22.0,22.0
S000000193,2020-05-30,shop_33,TSH_10,4.0,24.0,96.0
S000000194,2020-05-29,shop_34,TSH_11,1.0,24.0,24.0
S000000195,2020-05-28,shop_35,HOO_12,1.0,45.0,45.0
S000000196,2020-05-27,shop_36,HOO_13,1.0,48.0,48.0
S000000197,2020-05-26,shop_37,HOO_14,2.0,49.0,98.0
S000000198,2020-05-25,shop_38,SHO_15,1.0,60.0,60.0
S000000199,2020-05-24,shop_39,SHO_16,3.0,60.0,180.0
S000000200,2020-05-23,shop_0,SHO_17,1.0,60.0,60.0
S000000201,2020-05-22,shop_1,SHO_18,2.0,60.0,120.0
S000000202,2020-05-21,shop_2,SHO_19,2.0,60.0,120.0
S000000203,2020-05-20,shop_3,SHO_20,1.0,60.0,60.0
S000000204,2020-05-19,shop_4,TAB_21,1.0,210.0,210.0
S000000205,2020-05-18,shop_5,TAB_22,1.0,300.0,300.0
S000000206,2020-05-17,shop_6,CHA_23,4.0,60.0,240.0
S000000207,2020-05-16,shop_7,BED_24,1.0,150.0,150.0
S000000208,2020-05-15,shop_8,BED_25,1.0,300.0,300.0
S000000209,2020-05-14,shop_9,BED_26,1.0,395.0,395.0
S000000210,2020-06-12,shop_10,BED_27,2.0,440.0,880.0
S000000211,2020-06-11,shop_11,TSH_28,1.0,20.0,20.0
S000000212,2020-06-10,shop_12,TSH_29,3.0,20.0,60.0
S000000213,2020-06-09,shop_13,TSH_30,1.0,22.0,22.0
S000000214,2020-06-08,shop_14,TSH_31,2.0,24.0,48.0
S000000215,2020-06-07,shop_15,TSH_32,2.0,24.0,48.0
S000000216,2020-06-06,shop_16,HOO_33,1.0,45.0,45.0
S000000217,2020-06-05,shop_17,HOO_34,1.0,48.0,48.0
S000000218,2020-06-04,shop_18,HOO_35,1.0,49.0,49.0
S000000219,2020-06-03,shop_19,SHO_36,4.0,60.0,240.0
S000000220,2020-06-02,shop_20,SHO_37,1.0,60.0,60.0
S000000221,2020-06-01,shop_21,SHO_38,1.0,60.0,60.0
S000000222,2020-05-31,shop_22,SHO_39,1.0,60.0,60.0
S000000223,2020-05-30,shop_23,SHO_40,2.0,60.0,120.0
S000000224,2020-05-29,shop_24,SHO_41,1.0,60.0,60.0
S000000225,2020-05-28,shop_25,TAB_42,3.0,210.0,630.0
S000000226,2020-05-27,shop_26,TAB_43,1.0,300.0,300.0
S000000227,2020-05-26,shop_27,CHA_44,2.0,60.0,120.0
S000000228,2020-05-25,shop_28,BED_45,2.0,150.0,300.0
S000000229,2020-05-24,shop_29,BED_46,1.0,300.0,300.0
S000000230,2020-05-23,shop_30,BED_47,1.0,395.0,395.0
S000000231,2020-05-22,shop_31,BED_48,1.0,440.0,440.0
S000000232,2020-05-21,shop_32,TSH_49,4.0,20.0,80.0
S000000233,2020-05-20,shop_33,TSH_50,1.0,20.0,20.0
S000000234,2020-05-19,shop_34,TSH_51,1.0,22.0,22.0
S000000235,2020-05-18,shop_35,TSH_52,1.0,24.0,24.0
S000000236,2020-05-17,shop_36,TSH_53,2.0,24.0,48.0
S000000237,2020-05-16,shop_37,HOO_54,1.0,45.0,45.0
S000000238,2020-05-15,shop_38,HOO_55,3.0,48.0,144.0
S000000239,2020-05-14,shop_39,HOO_56,1.0,49.0,49.0
S000000240,2020-06-12,shop_0,SHO_57,2.0,60.0,120.0
S000000241,2020-06-11,shop_1,SHO_58,2.0,60.0,120.0
S000000242,2020-06-10,shop_2,SHO_59,1.0,60.0,60.0
S000000243,2020-06-09,shop_3,SHO_60,1.0,60.0,60.0
S000000244,2020-06-08,shop_4,TAB_0,1.0,210.0,210.0
S000000245,2020-06-07,shop_5,TAB_1,4.0,300.0,1200.0
S000000246,2020-06-06,shop_6,CHA_2,1.0,60.0,60.0
S000000247,2020-06-05,shop_7,BED_3,1.0,150.0,150.0
S000000248,2020-06-04,shop_8,BED_4,1.0,300.0,300.0
S000000249,2020-06-03,shop_9,BED_5,2.0,395.0,790.0
S000000250,2020-06-02,shop_10,BED_6,1.0,440.0,440.0
S000000251,2020-06-01,shop_11,TSH_7,3.0,20.0,60.0
S000000252,2020-05-31,shop_12,TSH_8,1.0,20.0,20.0
S000000253,2020-05-30,shop_13,TSH_9,2.0,22.0,44.0
S000000254,2020-05-29,shop_14,TSH_10,2.0,24.0,48.0
S000000255,2020-05-28,shop_15,TSH_11,1.0,24.0,24.0
S000000256,2020-05-27,shop_16,HOO_12,1.0,45.0,45.0
S000000257,2020-05-26,shop_17,HOO_13,1.0,48.0,48.0
S000000258,2020-05-25,shop_18,HOO_14,4.0,49.0,196.0
S000000259,2020-05-24,shop_19,SHO_15,1.0,60.0,60.0
S000000260,2020-05-23,shop_20,SHO_16,1.0,60.0,60.0
S000000261,2020-05-22,shop_21,SHO_17,1.0,60.0,60.0
S000000262,2020-05-21,shop_22,SHO_18,2.0,60.0,120.0
S000000263,2020-05-20,shop_23,SHO_19,1.0,60.0,60.0
S000000264,2020-05-19,shop_24,SHO_20,3.0,60.0,180.0
S000000265,2020-05-18,shop_25,TAB_21,1.0,210.0,210.0
S000000266,2020-05-17,shop_26,TAB_22,2.0,300.0,600.0
S000000267,2020-05-16,shop_27,CHA_23,2.0,60.0,120.0
S000000268,2020-05-15,shop_28,BED_24,1.0,150.0,150.0
S000000269,2020-05-14,shop_29,BED_25,1.0,300.0,300.0
S000000270,2020-06-12,shop_30,BED_26,1.0,395.0,395.0
S000000271,2020-06-11,shop_31,BED_27,4.0,440.0,1760.0
S000000272,2020-06-10,shop_32,TSH_28,1.0,20.0,20.0
S000000273,2020-06-09,shop_33,TSH_29,1.0,20.0,20.0
S000000274,2020-06-08,shop_34,TSH_30,1.0,22.0,22.0
S000000275,2020-06-07,shop_35,TSH_31,2.0,24.0,48.0
S000000276,2020-06-06,shop_36,TSH_32,1.0,24.0,24.0
S000000277,2020-06-05,shop_37,HOO_33,3.0,45.0,135.0
S000000278,2020-06-04,shop_38,HOO_34,1.0,48.0,48.0
S000000279,2020-06-03,shop_39,HOO_35,2.0,49.0,98.0
S000000280,2020-06-02,shop_0,SHO_36,2.0,60.0,120.0
S000000281,2020-06-01,shop_1,SHO_37,1.0,60.0,60.0
S000000282,2020-05-31,shop_2,SHO_38,1.0,60.0,60.0
S000000283,2020-05-30,shop_3,SHO_39,1.0,60.0,60.0
S000000284,2020-05-29,shop_4,SHO_40,4.0,60.0,240.0
S000000285,2020-05-28,shop_5,SHO_41,1.0,60.0,60.0
S000000286,2020-05-27,shop_6,TAB_42,1.0,210.0,210.0
S000000287,2020-05-26,shop_7,TAB_43,1.0,300.0,300.0
S000000288,2020-05-25,shop_8,CHA_44,2.0,60.0,120.0
S000000289,2020-05-24,shop_9,BED_45,1.0,150.0,150.0
S000000290,2020-05-23,shop_10,BED_46,3.0,300.0,900.0
S000000291,2020-05-22,shop_11,BED_47,1.0,395.0,395.0
S000000292,2020-05-21,shop_12,BED_48,2.0,440.0,880.0
S000000293,2020-05-20,shop_13,TSH_49,2.0,20.0,40.0
S000000294,2020-05-19,shop_14,TSH_50,1.0,20.0,20.0
S000000295,2020-05-18,shop_15,TSH_51,1.0,22.0,22.0
S000000296,2020-05-17,shop_16,TSH_52,1.0,24.0,24.0
S000000297,2020-05-16,shop_17,TSH_53,4.0,24.0,96.0
S000000298,2020-05-15,shop_18,HOO_54,1.0,45.0,45.0
S000000299,2020-05-14,shop_19,HOO_55,1.0,48.0,48.0
S000000300,2020-06-12,shop_20,HOO_56,1.0,49.0,49.0
S000000301,2020-06-11,shop_21,SHO_57,2.0,60.0,120.0
S000000302,2020-06-10,shop_22,SHO_58,1.0,60.0,60.0
S000000303,2020-06-09,shop_23,SHO_59,3.0,60.0,180.0
S000000304,2020-06-08,shop_24,SHO_60,1.0,60.0,60.0
S000000305,2020-06-07,shop_25,TAB_0,2.0,210.0,420.0
S000000306,2020-06-06,shop_26,TAB_1,2.0,300.0,600.0
S000000307,2020-06-05,shop_27,CHA_2,1.0,60.0,60.0
S000000308,2020-06-04,shop_28,BED_3,1.0,150.0,150.0
S000000309,2020-06-03,shop_29,BED_4,1.0,300.0,300.0
S000000310,2020-06-02,shop_30,BED_5,4.0,395.0,1580.0
S000000311,2020-06-01,shop_31,BED_6,1.0,440.0,440.0
S000000312,2020-05-31,shop_32,TSH_7,1.0,20.0,20.0
S000000313,2020-05-30,shop_33,TSH_8,1.0,20.0,20.0
S000000314,2020-05-29,shop_34,TSH_9,2.0,22.0,44.0
S000000315,2020-05-28,shop_35,TSH_10,1.0,24.0,24.0
S000000316,2020-05-27,shop_36,TSH_11,3.0,24.0,72.0
S000000317,2020-05-26,shop_37,HOO_12,1.0,45.0,45.0
S000000318,2020-05-25,shop_38,HOO_13,2.0,48.0,96.0
S000000319,2020-05-24,shop_39,HOO_14,2.0,49.0,98.0
S000000320,2020-05-23,shop_0,SHO_15,1.0,60.0,60.0
S000000321,2020-05-22,shop_1,SHO_16,1.0,60.0,60.0
S000000322,2020-05-21,shop_2,SHO_17,1.0,60.0,60.0
S000000323,2020-05-20,shop_3,SHO_18,4.0,60.0,240.0
S000000324,2020-05-19,shop_4,SHO_19,1.0,60.0,60.0
S000000325,2020-05-18,shop_5,SHO_20,1.0,60.0,60.0
S000000326,2020-05-17,shop_6,TAB_21,1.0,210.0,210.0
S000000327,2020-05-16,shop_7,TAB_22,2.0,300.0,600.0
S000000328,2020-05-15,shop_8,CHA_23,1.0,60.0,60.0
S000000329,2020-05-14,shop_9,BED_24,3.0,150.0,450.0
S000000330,2020-06-12,shop_10,BED_25,1.0,300.0,300.0
S000000331,2020-06-11,shop_11,BED_26,2.0,395.0,790.0
S000000332,2020-06-10,shop_12,BED_27,2.0,440.0,880.0
S000000333,2020-06-09,shop_13,TSH_28,1.0,20.0,20.0
S000000334,2020-06-08,shop_14,TSH_29,1.0,20.0,20.0
S000000335,2020-06-07,shop_15,TSH_30,1.0,22.0,22.0
S000000336,2020-06-06,shop_16,TSH_31,4.0,24.0,96.0
S000000337,2020-06-05,shop_17,TSH_32,1.0,24.0,24.0
S000000338,2020-06-04,shop_18,HOO_33,1.0,45.0,45.0
S000000339,2020-06-03,shop_19,HOO_34,1.0,48.0,48.0
S000000340,2020-06-02,shop_20,HOO_35,2.0,49.0,98.0
S000000341,2020-06-01,shop_21,SHO_36,1.0,60.0,60.0
S000000342,2020-05-31,shop_22,SHO_37,3.0,60.0,180.0
S000000343,2020-05-30,shop_23,SHO_38,1.0,60.0,60.0
S000000344,2020-05-29,shop_24,SHO_39,2.0,60.0,120.0
S000000345,2020-05-28,shop_25,SHO_40,2.0,60.0,120.0
S000000346,2020-05-27,shop_26,SHO_41,1.0,60.0,60.0
S000000347,2020-05-26,shop_27,TAB_42,1.0,210.0,210.0
S000000348,2020-05-25,shop_28,TAB_43,1.0,300.0,300.0
S000000349,2020-05-24,shop_29,CHA_44,4.0,60.0,240.0
S000000350,2020-05-23,shop_30,BED_45,1.0,150.0,150.0
S000000351,2020-05-22,shop_31,BED_46,1.0,300.0,300.0
S000000352,2020-05-21,shop_32,BED_47,1.0,395.0,395.0
S000000353,2020-05-20,shop_33,BED_48,2.0,440.0,880.0
S000000354,2020-05-19,shop_34,TSH_49,1.0,20.0,20.0
S000000355,2020-05-18,shop_35,TSH_50,3.0,20.0,60.0
S000000356,2020-05-17,shop_36,TSH_51,1.0,22.0,22.0
S000000357,2020-05-16,shop_37,TSH_52,2.0,24.0,48.0
S000000358,2020-05-15,shop_38,TSH_53,2.0,24.0,48.0
S000000359,2020-05-14,shop_39,HOO_54,1.0,45.0,45.0
S000000360,2020-06-12,shop_0,HOO_55,1.0,48.0,48.0
S000000361,2020-06-11,shop_1,HOO_56,1.0,49.0,49.0
S000000362,2020-06-10,shop_2,SHO_57,4.0,60.0,240.0
S000000363,2020-06-09,shop_3,SHO_58,1.0,60.0,60.0
S000000364,2020-06-08,shop_4,SHO_59,1.0,60.0,60.0
S000000365,2020-06-07,shop_5,SHO_60,1.0,60.0,60.0
S000000366,2020-06-06,shop_6,TAB_0,2.0,210.0,420.0
S000000367,2020-06-05,shop_7,TAB_1,1.0,300.0,300.0
S000000368,2020-06-04,shop_8,CHA_2,3.0,60.0,180.0
S000000369,2020-06-03,shop_9,BED_3,1.0,150.0,150.0
S000000370,2020-06-02,shop_10,BED_4,2.0,300.0,600.0
S000000371,2020-06-01,shop_11,BED_5,2.0,395.0,790.0
S000000372,2020-05-31,shop_12,BED_6,1.0,440.0,440.0
S000000373,2020-05-30,shop_13,TSH_7,1.0,20.0,20.0
S000000374,2020-05-29,shop_14,TSH_8,1.0,20.0,20.0
S000000375,2020-05-28,shop_15,TSH_9,4.0,22.0,88.0
S000000376,2020-05-27,shop_16,TSH_10,1.0,24.0,24.0
S000000377,2020-05-26,shop_17,TSH_11,1.0,24.0,24.0
S000000378,2020-05-25,shop_18,HOO_12,1.0,45.0,45.0
S000000379,2020-05-24,shop_19,HOO_13,2.0,48.0,96.0
S000000380,2020-05-23,shop_20,HOO_14,1.0,49.0,49.0
S000000381,2020-05-22,shop_21,SHO_15,3.0,60.0,180.0
S000000382,2020-05-21,shop_22,SHO_16,1.0,60.0,60.0
S000000383,2020-05-20,shop_23,SHO_17,2.0,60.0,120.0
S000000384,2020-05-19,shop_24,SHO_18,2.0,60.0,120.0
S000000385,2020-05-18,shop_25,SHO_19,1.0,60.0,60.0
S000000386,2020-05-17,shop_26,SHO_20,1.0,60.0,60.0
S000000387,2020-05-16,shop_27,TAB_21,1.0,210.0,210.0
S000000388,2020-05-15,shop_28,TAB_22,4.0,300.0,1200.0
S000000389,2020-05-14,shop_29,CHA_23,1.0,60.0,60.0
S000000390,2020-06-12,shop_30,BED_24,1.0,150.0,150.0
S000000391,2020-06-11,shop_31,BED_25,1.0,300.0,300.0
S000000392,2020-06-10,shop_32,BED_26,2.0,395.0,790.0
S000000393,2020-06-09,shop_33,BED_27,1.0,440.0,440.0
S000000394,2020-06-08,shop_34,TSH_28,3.0,20.0,60.0
S000000395,2020-06-07,shop_35,TSH_29,1.0,20.0,20.0
S000000396,2020-06-06,shop_36,TSH_30,2.0,22.0,44.0
S000000397,2020-06-05,shop_37,TSH_31,2.0,24.0,48.0
S000000398,2020-06-04,shop_38,TSH_32,1.0,24.0,24.0
S000000399,2020-06-03,shop_39,HOO_33,1.0,45.0,45.0
